2026-03-26 14:17:19 | ERROR    | scraper_service | [biddetail] failed: [WinError 5] Access is denied: 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver-win32\\chromedriver.exe' -> 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver.exe'
2026-03-26 14:28:48 | INFO     | scraper_service | [tenderdetail] completed — found=27 saved=27
2026-03-26 14:30:07 | INFO     | scraper_service | [tender247] completed — found=65 saved=65
2026-03-26 14:48:06 | INFO     | scraper_service | [gem] completed — found=8 saved=8
2026-03-26 14:53:15 | INFO     | scraper_service | [biddetail] completed — found=206 saved=206
2026-03-26 14:58:00 | INFO     | scraper_service | [tenderontime] completed — found=93 saved=93
2026-03-26 15:02:27 | INFO     | scraper_service | Redis connected
2026-03-26 16:45:53 | INFO     | scraper_service | Redis connected
2026-03-26 16:46:24 | INFO     | scraper_service | Redis connected
2026-03-26 16:46:56 | INFO     | scraper_service | Redis connected
2026-03-26 16:47:27 | INFO     | scraper_service | Redis connected
2026-03-26 16:47:58 | INFO     | scraper_service | Redis connected
2026-03-26 16:52:49 | INFO     | scraper_service | Redis connected
2026-03-26 16:56:59 | INFO     | scraper_service | Redis connected
2026-03-26 16:57:02 | INFO     | scraper_service | Redis connected
2026-03-26 16:59:37 | INFO     | scraper_service | Redis connected
2026-03-26 17:02:48 | INFO     | scraper_service | Redis connected
2026-03-26 17:06:25 | INFO     | scraper_service | Redis connected
2026-03-26 17:06:58 | INFO     | scraper_service | Redis connected
2026-03-26 17:07:00 | INFO     | scraper_service | Redis connected
2026-03-26 17:07:28 | INFO     | scraper_service | Redis connected
2026-03-26 17:07:29 | INFO     | scraper_service | Redis connected
2026-03-26 17:08:40 | INFO     | scraper_service | Redis connected
2026-03-26 17:08:42 | INFO     | scraper_service | Redis connected
2026-03-27 09:57:25 | INFO     | scraper_service | Redis connected
